device_type,budget_range,use_case,brand_preference,screen_size_pref,chosen_device
Mobile,5000-10000,Camera,IQOO,NA,iQOO Z10 Lite 5G
Mobile,5000-10000,Gaming,POCO,NA,POCO M7 5G
Mobile,5000-10000,Business,SAMSUNG,NA,SAMSUNG F06 5G
Mobile,5000-10000,Entertainment,REALME,NA,REALME NARZO 80 LITE 5G
Mobile,5000-10000,Battery-Life,IQOO,NA,iQOO Z10 Lite 5G
Mobile,5000-10000,Business,SAMSUNG,NA,SAMSUNG M06 5G
Mobile,5000-10000,Entertainment,REALME,NA,REALME P3 LITE 5G
Mobile,10000-15000,Camera,VIVO,NA,VIVO T3X 5G
Mobile,10000-15000,Gaming,POCO,NA,POCO X7 5G
Mobile,10000-15000,Entertainment,REDMI,NA,REDMI 15 5G
Mobile,10000-15000,Entertainment,POCO,NA,POCO M7 PLUS 5G
Mobile,10000-15000,Battery-Life,IQOO,NA,IQOO Z10X 5G 
Mobile,10000-15000,Business,SAMSUNG,NA,SAMSUNG M36 5g
Mobile,10000-15000,Entertainment,VIVO,NA,VIVO T3X 5G
Mobile,15000-20000,Camera,CMF,NA,CMF PHONE 2 PRO 
Mobile,15000-20000,Gaming,IQOO,NA,IQOO Z10R 5G
Mobile,15000-20000,Business,SAMSUNG,NA,SAMSUNG F36 5g
Mobile,15000-20000,Entertainment,REALME,NA,REALME P4 5G
Mobile,15000-20000,Battery-Life,REALME,NA,REALME P4 5G
Mobile,15000-20000,Business,ONEPLUS,NA,ONEPLUS NORD CE4 5G
Mobile,15000-20000,Gaming,VIVO,NA,VIVO T4R 5G
Mobile,20000-25000,Camera,SAMSUNG,NA,SAMSUNG M56 5G
Mobile,20000-25000,Gaming,IQOO,NA,IQOO Z10 5G
Mobile,20000-25000,Business,SAMSUNG,NA,SAMSUNG A55 5G
Mobile,20000-25000,Entertainment,MOTO,NA,MOTO EDGE 60 FUSION
Mobile,20000-25000,Battery-Life,ONEPLUS,NA,ONEPLUS NORD CE5
Mobile,20000-25000,Gaming,POCO,NA,POCO F6  5G
Mobile,20000-25000,Camera,NOTHING,NA,NOTHING PHONE 3A
Mobile,20000-25000,Camera,ONEPLUS,NA,ONEPLUS NORD CE5 
Mobile,20000-25000,Camera,VIVO,NA,VIVO T4 PRO 5G
Mobile,20000-25000,Gaming,POCO,NA,POCO F7
Mobile,25000-30000,Business,SAMSUNG,NA,SAMSUNG A36 5G
Mobile,25000-30000,Entertainment,REALME,NA,REALME P4 PRO 5G
Mobile,25000-30000,Battery-Life,OPPO,NA,OPPO K13 TURBO 5G
Mobile,25000-30000,Gaming,IQOO,NA,IQOO NEO 10R 5G
Mobile,25000-30000,Camera,XIAOMI,NA,XIAOMI 14 CIVI
Mobile,25000-30000,Entertainment,REALME,NA,REALME 15 5G
Mobile,25000-30000,Camera,MOTO,NA,MOTO EDGE 60 PRO
Mobile,30000-40000,Camera,REALME,NA,REALME 15 PRO 5G
Mobile,30000-40000,Camera,VIVO,NA,VIVO V60 
